id	name	type
7C7CAEED	On rank correlation in information retrieval evaluation	paper
7AEE29E3	The Voting Model for People Search	paper
7D68490B	Document clustering with committees	paper
7A488256	A comparison of indexing techniques for Japanese text retrieval	paper
7D5CD2DF	Feature selection for ranking	paper
7646C4F7	Learning to advertise	paper
7CF9B0DC	Personalized tag recommendation using graph-based ranking on multi-type interrelated objects	paper
78D3F0A3	Term relevance feedback and query expansion: relation to design	paper
7C55ADC9	A sequential algorithm for training text classifiers	paper
7F9C2FCD	Document clustering via adaptive subspace iteration	paper
7B1F8566	Personalized active learning for collaborative filtering	paper
75365F6D	Iterative translation disambiguation for cross-language information retrieval	paper
7B15399A	On-line new event detection and tracking	paper
7A3CEE9A	Query-sensitive mutual reinforcement chain and its application in query-oriented multi-document summarization	paper
7B35DF6E	Robust temporal and spectral modeling for query By melody	paper
7D322466	A study of methods for negative relevance feedback	paper
7F4D016F	Global ranking by exploiting user clicks	paper
78240F38	Using statistical testing in the evaluation of retrieval experiments	paper
7B6CCC91	Self-taught hashing for fast similarity search	paper
7ED831FE	Large scale semi-supervised linear SVMs	paper
7D693F66	Selecting good expansion terms for pseudo-relevance feedback	paper
762040FD	Novelty and redundancy detection in adaptive filtering	paper
7518DA52	A similarity-based probability model for latent semantic indexing	paper
7AD389CE	On feature distributional clustering for text categorization	paper
7A6D1235	Short text classification in twitter to improve information filtering	paper
7D17A093	Named entity recognition in query	paper
76FDA1E2	The automatic construction of large-scale corpora for summarization research	paper
7B4696F8	Ranking community answers by modeling question-answer relationships via analogical reasoning	paper
79E8F68A	Development of a modern OPAC: from REVTOLC to MARIAN	paper
7B3F25FB	Comparing interactive information retrieval systems across sites: the TREC-6 interactive track matrix experiment	paper
7D613389	An effective approach to document retrieval via utilizing WordNet and recognizing phrases	paper
79E0597E	A belief network model for IR	paper
80BA211F	An interactive algorithm for asking and incorporating feature feedback into support vector machines	paper
7BDBE804	Cross-document summarization by concept classification	paper
7C9725E8	Predicting category accesses for a user in a structured information space	paper
7B0F0125	Distributional clustering of words for text classification	paper
7B50FC31	Document language models, query models, and risk minimization for information retrieval	paper
7ECC05A5	An automatic weighting scheme for collaborative filtering	paper
7B9EE6D7	Bead: explorations in information visualization	paper
7DD09999	Query dependent ranking using K-nearest neighbor	paper
7F3D3128	EigenRank: a ranking-oriented approach to collaborative filtering	paper
7A66FCCB	Topic segmentation with an aspect hidden Markov model	paper
7C0872C0	Automatic metadata generation & evaluation	paper
79C56783	LDA-based document models for ad-hoc retrieval	paper
7DBD47ED	Term selection for searching printed Arabic	paper
80D09177	Predicting information seeker satisfaction in community question answering	paper
77EE3DFB	Improving text categorization methods for event tracking	paper
7F495E20	Question answering passage retrieval using dependency relations	paper
7FB4861E	AdaRank: a boosting algorithm for information retrieval	paper
7F230A0D	Probabilistic combination of text classifiers using reliability indicators: models and results	paper
753B8644	A new rank correlation coefficient for information retrieval	paper
7D1A4F7E	Robust classification of rare queries using web knowledge	paper
757887DB	Tackling concept drift by temporal inductive transfer	paper
7C792585	Clustering short texts using wikipedia	paper
7B869D82	A probabilistic relational model for the integration of IR and databases	paper
